npi,provider_name,entity_type,taxonomy_description,city,state
1750504064,DEPARTMENT OF DEVELOPMENTAL SERVICES,NPI-2,Case Management,SOUTHBRIDGE,MA
1134250475,COMMONWEALTH OF MASS-DDS,NPI-2,Case Management,HYDE PARK,MA
1518096411,COMMONWEALTH OF MASSACHUSETS,NPI-2,Case Management,BEVERLY,MA
1932341898,"MAINS'L FLORIDA, INC.",NPI-2,Home Health,BROOKLYN PARK,MN
1417262056,PUBLIC PARTNERSHIPS LLC,NPI-2,Supports Brokerage,LATHAM,NY
1699703827,LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH,NPI-2,"Clinic/Center, Mental Health (Including Community Mental Health Center)",LOS ANGELES,CA
1376609297,"TEMPUS UNLIMITED, INC.",NPI-2,Voluntary or Charitable,STOUGHTON,MA
1699725143,"MODIVCARE SOLUTIONS, LLC",NPI-2,Transportation Broker,DENVER,CO
1922467554,FREEDOM CARE LLC,NPI-2,Home Health,NEW HYDE PARK,NY
1710176151,GUARDIANTRAC. LLC,NPI-2,Community/Behavioral Health,STURGIS,MI
1629436241,"DEPARTMENT OF INTELLECTUAL AND DEVELOPMENTAL DISABILITIES, STATE OF TN",NPI-2,Public Health or Welfare,NASHVILLE,TN
1982757688,ALABAMA DEPARTMENT OF MENTAL HEALTH AND MENTAL RETARDATION,NPI-2,Community/Behavioral Health,MONTGOMERY,AL
1538649983,CONSUMER DIRECT CARE NETWORK VIRGINIA,NPI-2,Home Health,MISSOULA,MT
1528263910,COUNTY OF SANTA CLARA,NPI-2,Community/Behavioral Health,SAN JOSE,CA
1962650622,AMERICAN BUSINESS INSTITUTE CORP,NPI-2,Home Health,FLUSHING,NY
1720151046,PREMIER HOME HEALTH CARE SERVICES INC,NPI-2,Home Health,NEW YORK,NY
1356709976,"DEPARTMENT OF INTELLECTUAL AND DEVELOPMENTAL DISABILITIES, STATE OF TN",NPI-2,Public Health or Welfare,NASHVILLE,TN
1396051694,ASSISTCAREHOME HEALTHCARE SERVICES,NPI-2,Home Health,BROOKLYN,NY
1538144910,LABORATORY CORPORATION OF AMERICA HOLDINGS,NPI-2,Clinical Medical Laboratory,BURLINGTON,NC
1447261540,COUNTY OF RIVERSIDE,NPI-2,Community/Behavioral Health,RIVERSIDE,CA
1114931391,TEXAS DEPARTMENT OF STATE HEALTH,NPI-2,Clinical Medical Laboratory,AUSTIN,TX
1376554592,CITY OF CHICAGO,NPI-2,Ambulance,CHICAGO,IL
1700901725,NEW ENGLAND EMERGENCY RESPONSE SYSTEMS INC,NPI-2,Emergency Response System Companies,SOUTHFIELD,MI
1962158980,LIFELINE BIOSCIENCES LLC,NPI-2,Clinical Medical Laboratory,DOWNERS GROVE,IL
1003033085,GREEN RIVER AREA DEVELOPMENT DISTRICT,NPI-2,Supports Brokerage,OWENSBORO,KY
1003039322,DEPARTMENT OF DEVELOPMENTAL SERVICES,NPI-2,Case Management,WORCESTER,MA
1003160391,THE ARC,NPI-2,Exclusive Provider Organization,HAMPTON,NJ
1003213752,ORION HOMES LLC,NPI-2,Community Based Residential Treatment Facility  Mental Illness,PHOENIX,AZ
1003221508,DSI WAIPAHU  LLC,NPI-2,Clinic/Center  End-Stage Renal Disease (ESRD) Treatment,WAIPAHU,HI
1003367491,LEGACY EMANUEL HOSPITAL & HEALTH CENTER,NPI-2,General Acute Care Hospital,PORTLAND,OR
1003459710,DAYMARK RECOVERY SERVICES INC,NPI-2,Community/Behavioral Health,ASHEVILLE,NC
1003479395,CHESCO SERVICES,NPI-2,Early Intervention Provider Agency,CHESTERFIELD,SC
1003560624,RAPID HEALTHCARE LABORATORY LLC,NPI-2,Clinical Medical Laboratory,ELGIN,IL
1003847807,BAYADA HOME HEALTH CARE  INC.,NPI-2,Home Health,TOMS RIVER,NJ
1003930256,COMMONWEALTH OF MASSACHUSETTS-DDS,NPI-2,Case Management,FALL RIVER,MA
1003940438,FOCUS  INC,NPI-2,Day Training  Developmentally Disabled Services,JONESBORO,AR
1003953803,HOME HEALTH CARE SERVICES OF NY,NPI-2,Home Health,BROOKLYN,NY
